+-------------------------------+-------------------------------+-----------------+-----------------+----------+--------+--------+-------+-------+------+------------+-------+----------+----------+--------------+---------------+
| sp1                           | sp2                           | grp1            | grp2            | theta    | prev1  | prev2  | n11   | n10   | n01  | same_group | n00   | min_cell | selected | years_shared | years_jaccard |
| clausocalanus_brevipes        | egg_indet                     | Copepod         | Other           | 0.83705  | 0.3716 | 0.0739 | 1616  | 9525  | 600  | FALSE      | 18242 | 600      | TRUE     | 16           | 0.941         |
| calanoides_acutus             | thysanoessa_macrura_f6        | Copepod         | Krill           | 0.83465  | 0.1624 | 0.0728 | 796   | 4072  | 1388 | FALSE      | 23727 | 796      | TRUE     | 15           | 0.682         |
| egg_indet                     | ctenocalanus_sp_cf_citer_2    | Other           | Copepod         | -0.83417 | 0.0739 | 0.0657 | 180   | 2036  | 1790 | FALSE      | 25977 | 180      | TRUE     | 6            | 0.353         |
| clausocalanus_brevipes        | metridia_lucens               | Copepod         | Copepod         | 0.83193  | 0.3716 | 0.1060 | 2278  | 8863  | 901  | TRUE       | 17941 | 901      | TRUE     | 16           | 0.842         |
| calanus_simillimus            | calanoides_acutus             | Copepod         | Copepod         | 0.83145  | 0.4924 | 0.1624 | 3844  | 10921 | 1024 | TRUE       | 14194 | 1024     | TRUE     | 20           | 0.870         |
| oithona_similis               | thysanoessa_macrura_f1        | Copepod         | Krill           | -0.82694 | 0.9206 | 0.0631 | 1826  | 25776 | 66   | FALSE      | 2315  | 66       | TRUE     | 15           | 0.714         |
| oithona_similis               | copepod_nauplius_indet        | Copepod         | Copepod         | 0.82254  | 0.9206 | 0.3308 | 9782  | 17820 | 136  | TRUE       | 2245  | 136      | TRUE     | 16           | 0.762         |
| oikopleura_sp                 | ctenocalanus_sp_cf_citer_2    | Appendicularian | Copepod         | -0.81852 | 0.4227 | 0.0657 | 607   | 12066 | 1363 | FALSE      | 15947 | 607      | TRUE     | 6            | 0.286         |
| ostracoda_indet               | hyperiidae_indet              | Other           | Amphipod        | 0.81554  | 0.1587 | 0.1171 | 1470  | 3289  | 2040 | FALSE      | 23184 | 1470     | TRUE     | 20           | 0.952         |
| chaetognath_indet             | eukrohnia_hamata              | Chaetognath     | Chaetognath     | 0.81263  | 0.1168 | 0.0545 | 486   | 3017  | 1148 | TRUE       | 25332 | 486      | TRUE     | 19           | 0.905         |
| calanoides_acutus             | radiozoa                      | Copepod         | Other           | 0.81127  | 0.1624 | 0.0741 | 903   | 3965  | 1320 | FALSE      | 23795 | 903      | TRUE     | 12           | 0.545         |
| calanus_simillimus            | limacina_sp                   | Copepod         | Pteropod        | 0.78951  | 0.4924 | 0.2802 | 6181  | 8584  | 2219 | FALSE      | 12999 | 2219     | TRUE     | 20           | 0.870         |
| ostracoda_indet               | ctenocalanus_sp_cf_citer_2    | Other           | Copepod         | 0.78352  | 0.1587 | 0.0657 | 591   | 4168  | 1379 | FALSE      | 23845 | 591      | TRUE     | 6            | 0.300         |
| fritillaria_sp                | copepod_nauplius_indet        | Appendicularian | Copepod         | 0.78317  | 0.5238 | 0.3308 | 7364  | 8342  | 2554 | FALSE      | 11723 | 2554     | TRUE     | 16           | 0.800         |
| calanus_simillimus            | egg_indet                     | Copepod         | Other           | -0.77981 | 0.4924 | 0.0739 | 1103  | 13662 | 1113 | FALSE      | 14105 | 1103     | TRUE     | 17           | 0.810         |
| metridia_lucens               | euphausiidae_calyptopis_indet | Copepod         | Krill           | 0.77087  | 0.1060 | 0.0613 | 615   | 2564  | 1222 | FALSE      | 25582 | 615      | TRUE     | 18           | 0.900         |
| thysanoessa_macrura_f1        | euphausiidae_calyptopis_indet | Krill           | Krill           | 0.76588  | 0.0631 | 0.0613 | 337   | 1555  | 1500 | TRUE       | 26591 | 337      | TRUE     | 15           | 0.789         |
| thysanoessa_macrura           | neocalanus_tonsus             | Krill           | Copepod         | -0.76302 | 0.1911 | 0.0930 | 282   | 5449  | 2505 | FALSE      | 21747 | 282      | TRUE     | 16           | 0.727         |
| calanus_simillimus            | thysanoessa_macrura_f6        | Copepod         | Krill           | 0.75762  | 0.4924 | 0.0728 | 1787  | 12978 | 397  | FALSE      | 14821 | 397      | TRUE     | 15           | 0.714         |
| clausocalanus_brevipes        | thysanoessa_macrura_f6        | Copepod         | Krill           | 0.75424  | 0.3716 | 0.0728 | 1568  | 9573  | 616  | FALSE      | 18226 | 616      | TRUE     | 15           | 0.938         |
