+-------------------------------+-------------------------------+-----------------+-----------------+----------+--------+--------+-------+-------+------+------------+-------+----------+----------+--------------+---------------+
| sp1                           | sp2                           | grp1            | grp2            | theta    | prev1  | prev2  | n11   | n10   | n01  | same_group | n00   | min_cell | selected | years_shared | years_jaccard |
| fritillaria_sp                | thysanoessa_macrura_f1        | Appendicularian | Krill           | -0.15916 | 0.5238 | 0.0631 | 1116  | 14590 | 776  | FALSE      | 13501 | 776      | TRUE     | 15           | 0.750         |
| small_calanoid_copepods       | calanoides_acutus             | Copepod         | Copepod         | 0.15843  | 0.8941 | 0.1624 | 4757  | 22052 | 111  | TRUE       | 3063  | 111      | TRUE     | 21           | 0.875         |
| limacina_sp                   | metridia_lucens               | Pteropod        | Copepod         | 0.15797  | 0.2802 | 0.1060 | 1557  | 6843  | 1622 | FALSE      | 19961 | 1557     | TRUE     | 19           | 0.864         |
| oikopleura_sp                 | euphausiidae_furcilia_indet   | Appendicularian | Krill           | 0.15713  | 0.4227 | 0.1233 | 1951  | 10722 | 1747 | FALSE      | 15563 | 1747     | TRUE     | 19           | 0.905         |
| calanus_simillimus            | metridia_lucens               | Copepod         | Copepod         | 0.15580  | 0.4924 | 0.1060 | 2211  | 12554 | 968  | TRUE       | 14250 | 968      | TRUE     | 19           | 0.905         |
| calanoides_acutus             | thysanoessa_macrura_f1        | Copepod         | Krill           | 0.15257  | 0.1624 | 0.0631 | 496   | 4372  | 1396 | FALSE      | 23719 | 496      | TRUE     | 15           | 0.682         |
| ostracoda_indet               | eukrohnia_hamata              | Other           | Chaetognath     | 0.15027  | 0.1587 | 0.0545 | 492   | 4267  | 1142 | FALSE      | 24082 | 492      | TRUE     | 20           | 1.000         |
| clausocalanus_brevipes        | limacina_sp                   | Copepod         | Pteropod        | 0.14964  | 0.3716 | 0.2802 | 4488  | 6653  | 3912 | FALSE      | 14930 | 3912     | TRUE     | 16           | 0.727         |
| clausocalanus_brevipes        | euphausiidae_furcilia_indet   | Copepod         | Krill           | 0.14794  | 0.3716 | 0.1233 | 2045  | 9096  | 1653 | FALSE      | 17189 | 1653     | TRUE     | 16           | 0.842         |
| oikopleura_sp                 | ctenocalanus_sp_cf_citer      | Appendicularian | Copepod         | 0.14715  | 0.4227 | 0.1998 | 3002  | 9671  | 2989 | FALSE      | 14321 | 2989     | TRUE     | 13           | 0.619         |
| foraminifera                  | thysanoessa_macrura           | Foraminifera    | Krill           | 0.14584  | 0.5150 | 0.1911 | 2887  | 12553 | 2844 | FALSE      | 11699 | 2844     | TRUE     | 21           | 0.955         |
| limacina_sp                   | euphausiidae_furcilia_indet   | Pteropod        | Krill           | 0.14354  | 0.2802 | 0.1233 | 1566  | 6834  | 2132 | FALSE      | 19451 | 1566     | TRUE     | 19           | 0.864         |
| oithona_similis               | chaetognath_indet             | Copepod         | Chaetognath     | 0.14292  | 0.9206 | 0.1168 | 3384  | 24218 | 119  | FALSE      | 2262  | 119      | TRUE     | 20           | 0.952         |
| oikopleura_sp                 | thysanoessa_macrura_furcilia  | Appendicularian | Krill           | 0.14051  | 0.4227 | 0.0655 | 914   | 11759 | 1051 | FALSE      | 16259 | 914      | TRUE     | 15           | 0.682         |
| fritillaria_sp                | metridia_lucens               | Appendicularian | Copepod         | -0.13989 | 0.5238 | 0.1060 | 1652  | 14054 | 1527 | FALSE      | 12750 | 1527     | TRUE     | 19           | 0.950         |
| thysanoessa_macrura           | calanoides_acutus             | Krill           | Copepod         | -0.13480 | 0.1911 | 0.1624 | 828   | 4903  | 4040 | FALSE      | 20212 | 828      | TRUE     | 21           | 0.913         |
| foraminifera                  | metridia_lucens               | Foraminifera    | Copepod         | -0.13372 | 0.5150 | 0.1060 | 1717  | 13723 | 1462 | FALSE      | 13081 | 1462     | TRUE     | 19           | 0.905         |
| copepod_nauplius_indet        | ostracoda_indet               | Copepod         | Other           | -0.13262 | 0.3308 | 0.1587 | 1533  | 8385  | 3226 | FALSE      | 16839 | 1533     | TRUE     | 16           | 0.800         |
| fritillaria_sp                | themisto_gaudichaudii         | Appendicularian | Amphipod        | 0.13164  | 0.5238 | 0.1044 | 1907  | 13799 | 1224 | FALSE      | 13053 | 1224     | TRUE     | 20           | 0.833         |
| clausocalanus_brevipes        | thysanoessa_macrura           | Copepod         | Krill           | -0.13094 | 0.3716 | 0.1911 | 1910  | 9231  | 3821 | FALSE      | 15021 | 1910     | TRUE     | 16           | 0.727         |
| oikopleura_sp                 | thysanoessa_macrura_f6        | Appendicularian | Krill           | 0.12718  | 0.4227 | 0.0728 | 1329  | 11344 | 855  | FALSE      | 16455 | 855      | TRUE     | 15           | 0.714         |
| egg_indet                     | eukrohnia_hamata              | Other           | Chaetognath     | -0.12602 | 0.0739 | 0.0545 | 58    | 2158  | 1576 | FALSE      | 26191 | 58       | TRUE     | 17           | 0.850         |
| rhincalanus_gigas             | thysanoessa_macrura_furcilia  | Copepod         | Krill           | 0.12541  | 0.0908 | 0.0655 | 298   | 2424  | 1667 | FALSE      | 25594 | 298      | TRUE     | 15           | 0.714         |
| fritillaria_sp                | calanus_simillimus            | Appendicularian | Copepod         | -0.12350 | 0.5238 | 0.4924 | 8605  | 7101  | 6160 | FALSE      | 8117  | 6160     | TRUE     | 20           | 0.952         |
| small_calanoid_copepods       | thysanoessa_macrura           | Copepod         | Krill           | 0.11872  | 0.8941 | 0.1911 | 4843  | 21966 | 888  | FALSE      | 2286  | 888      | TRUE     | 22           | 0.957         |
| oikopleura_sp                 | copepod_nauplius_indet        | Appendicularian | Copepod         | -0.11826 | 0.4227 | 0.3308 | 4484  | 8189  | 5434 | FALSE      | 11876 | 4484     | TRUE     | 16           | 0.762         |
| ctenocalanus_sp_cf_citer      | euphausiidae_furcilia_indet   | Copepod         | Krill           | 0.11764  | 0.1998 | 0.1233 | 975   | 5016  | 2723 | FALSE      | 21269 | 975      | TRUE     | 12           | 0.600         |
| foraminifera                  | calanoides_acutus             | Foraminifera    | Copepod         | -0.11658 | 0.5150 | 0.1624 | 2483  | 12957 | 2385 | FALSE      | 12158 | 2385     | TRUE     | 21           | 0.955         |
| clausocalanus_laticeps        | neocalanus_tonsus             | Copepod         | Copepod         | 0.11506  | 0.2775 | 0.0930 | 1006  | 7314  | 1781 | TRUE       | 19882 | 1006     | TRUE     | 16           | 1.000         |
| ctenocalanus_sp_cf_citer      | calanoides_acutus             | Copepod         | Copepod         | -0.11050 | 0.1998 | 0.1624 | 1065  | 4926  | 3803 | TRUE       | 20189 | 1065     | TRUE     | 13           | 0.591         |
| calanoides_acutus             | euphausiidae_calyptopis_indet | Copepod         | Krill           | 0.10993  | 0.1624 | 0.0613 | 390   | 4478  | 1447 | FALSE      | 23668 | 390      | TRUE     | 19           | 0.864         |
| oikopleura_sp                 | clausocalanus_laticeps        | Appendicularian | Copepod         | 0.10870  | 0.4227 | 0.2775 | 4746  | 7927  | 3574 | FALSE      | 13736 | 3574     | TRUE     | 16           | 0.762         |
| euphausiidae_furcilia_indet   | chaetognath_indet             | Krill           | Chaetognath     | 0.10699  | 0.1233 | 0.1168 | 745   | 2953  | 2758 | FALSE      | 23527 | 745      | TRUE     | 19           | 0.950         |
| ostracoda_indet               | rhincalanus_gigas             | Other           | Copepod         | 0.10632  | 0.1587 | 0.0908 | 647   | 4112  | 2075 | FALSE      | 23149 | 647      | TRUE     | 20           | 1.000         |
| clausocalanus_brevipes        | themisto_gaudichaudii         | Copepod         | Amphipod        | 0.10356  | 0.3716 | 0.1044 | 1470  | 9671  | 1661 | FALSE      | 17181 | 1470     | TRUE     | 16           | 0.667         |
| limacina_sp                   | radiozoa                      | Pteropod        | Other           | 0.10195  | 0.2802 | 0.0741 | 860   | 7540  | 1363 | FALSE      | 20220 | 860      | TRUE     | 12           | 0.545         |
| chaetognath_indet             | radiozoa                      | Chaetognath     | Other           | 0.10039  | 0.1168 | 0.0741 | 436   | 3067  | 1787 | FALSE      | 24693 | 436      | TRUE     | 12           | 0.600         |
| limacina_sp                   | calanoides_acutus             | Pteropod        | Copepod         | 0.09713  | 0.2802 | 0.1624 | 1964  | 6436  | 2904 | FALSE      | 18679 | 1964     | TRUE     | 22           | 1.000         |
| oithona_similis               | eukrohnia_hamata              | Copepod         | Chaetognath     | 0.09447  | 0.9206 | 0.0545 | 1561  | 26041 | 73   | FALSE      | 2308  | 73       | TRUE     | 20           | 0.952         |
| clausocalanus_laticeps        | thysanoessa_macrura           | Copepod         | Krill           | -0.09325 | 0.2775 | 0.1911 | 1488  | 6832  | 4243 | FALSE      | 17420 | 1488     | TRUE     | 16           | 0.727         |
| metridia_lucens               | themisto_gaudichaudii         | Copepod         | Amphipod        | 0.09288  | 0.1060 | 0.1044 | 444   | 2735  | 2687 | FALSE      | 24117 | 444      | TRUE     | 19           | 0.792         |
| hyperiidae_indet              | eukrohnia_hamata              | Amphipod        | Chaetognath     | 0.09260  | 0.1171 | 0.0545 | 353   | 3157  | 1281 | FALSE      | 25192 | 353      | TRUE     | 20           | 0.952         |
| fritillaria_sp                | ostracoda_indet               | Appendicularian | Other           | -0.08835 | 0.5238 | 0.1587 | 2432  | 13274 | 2327 | FALSE      | 11950 | 2327     | TRUE     | 20           | 1.000         |
| oithona_similis               | egg_indet                     | Copepod         | Other           | 0.08799  | 0.9206 | 0.0739 | 2209  | 25393 | 7    | FALSE      | 2374  | 7        | TRUE     | 17           | 0.810         |
| ctenocalanus_sp_cf_citer      | chaetognath_indet             | Copepod         | Chaetognath     | -0.08652 | 0.1998 | 0.1168 | 740   | 5251  | 2763 | FALSE      | 21229 | 740      | TRUE     | 13           | 0.650         |
| clausocalanus_brevipes        | copepod_nauplius_indet        | Copepod         | Copepod         | 0.07993  | 0.3716 | 0.3308 | 5082  | 6059  | 4836 | TRUE       | 14006 | 4836     | TRUE     | 16           | 1.000         |
| limacina_sp                   | ctenocalanus_sp_cf_citer      | Pteropod        | Copepod         | 0.07978  | 0.2802 | 0.1998 | 2227  | 6173  | 3764 | FALSE      | 17819 | 2227     | TRUE     | 13           | 0.591         |
| fritillaria_sp                | hyperiidae_indet              | Appendicularian | Amphipod        | -0.07544 | 0.5238 | 0.1171 | 1760  | 13946 | 1750 | FALSE      | 12527 | 1750     | TRUE     | 20           | 0.952         |
| thysanoessa_macrura           | thysanoessa_macrura_f1        | Krill           | Krill           | 0.06438  | 0.1911 | 0.0631 | 388   | 5343  | 1504 | TRUE       | 22748 | 388      | TRUE     | 15           | 0.682         |
| chaetognath_indet             | thysanoessa_macrura_f1        | Chaetognath     | Krill           | -0.06067 | 0.1168 | 0.0631 | 266   | 3237  | 1626 | FALSE      | 24854 | 266      | TRUE     | 15           | 0.750         |
| small_calanoid_copepods       | radiozoa                      | Copepod         | Other           | 0.06039  | 0.8941 | 0.0741 | 2218  | 24591 | 5    | FALSE      | 3169  | 5        | TRUE     | 12           | 0.522         |
| neocalanus_tonsus             | egg_indet                     | Copepod         | Other           | -0.05737 | 0.0930 | 0.0739 | 150   | 2637  | 2066 | FALSE      | 25130 | 150      | TRUE     | 16           | 0.941         |
| calanoides_acutus             | themisto_gaudichaudii         | Copepod         | Amphipod        | 0.05523  | 0.1624 | 0.1044 | 750   | 4118  | 2381 | FALSE      | 22734 | 750      | TRUE     | 22           | 0.917         |
| foraminifera                  | egg_indet                     | Foraminifera    | Other           | 0.05377  | 0.5150 | 0.0739 | 1321  | 14119 | 895  | FALSE      | 13648 | 895      | TRUE     | 17           | 0.810         |
| limacina_sp                   | themisto_gaudichaudii         | Pteropod        | Amphipod        | 0.05324  | 0.2802 | 0.1044 | 1207  | 7193  | 1924 | FALSE      | 19659 | 1207     | TRUE     | 22           | 0.917         |
| clausocalanus_laticeps        | euphausiidae_calyptopis_indet | Copepod         | Krill           | 0.05043  | 0.2775 | 0.0613 | 876   | 7444  | 961  | FALSE      | 20702 | 876      | TRUE     | 16           | 0.842         |
| copepod_nauplius_indet        | themisto_gaudichaudii         | Copepod         | Amphipod        | 0.05008  | 0.3308 | 0.1044 | 1284  | 8634  | 1847 | FALSE      | 18218 | 1284     | TRUE     | 16           | 0.667         |
| clausocalanus_laticeps        | calanoides_acutus             | Copepod         | Copepod         | 0.04591  | 0.2775 | 0.1624 | 2211  | 6109  | 2657 | TRUE       | 19006 | 2211     | TRUE     | 16           | 0.727         |
| limacina_sp                   | hyperiidae_indet              | Pteropod        | Amphipod        | 0.04477  | 0.2802 | 0.1171 | 1571  | 6829  | 1939 | FALSE      | 19644 | 1571     | TRUE     | 21           | 0.955         |
| fritillaria_sp                | ctenocalanus_sp_cf_citer      | Appendicularian | Copepod         | -0.04126 | 0.5238 | 0.1998 | 3246  | 12460 | 2745 | FALSE      | 11532 | 2745     | TRUE     | 12           | 0.571         |
| foraminifera                  | calanus_simillimus            | Foraminifera    | Copepod         | 0.03568  | 0.5150 | 0.4924 | 8334  | 7106  | 6431 | FALSE      | 8112  | 6431     | TRUE     | 20           | 0.909         |
| small_calanoid_copepods       | hyperiidae_indet              | Copepod         | Amphipod        | 0.03552  | 0.8941 | 0.1171 | 3303  | 23506 | 207  | FALSE      | 2967  | 207      | TRUE     | 21           | 0.913         |
| fritillaria_sp                | thysanoessa_macrura           | Appendicularian | Krill           | -0.03411 | 0.5238 | 0.1911 | 2594  | 13112 | 3137 | FALSE      | 11140 | 2594     | TRUE     | 20           | 0.909         |
| foraminifera                  | oikopleura_sp                 | Foraminifera    | Appendicularian | -0.03348 | 0.5150 | 0.4227 | 6763  | 8677  | 5910 | FALSE      | 8633  | 5910     | TRUE     | 21           | 1.000         |
| rhincalanus_gigas             | thysanoessa_macrura_f1        | Copepod         | Krill           | 0.03313  | 0.0908 | 0.0631 | 289   | 2433  | 1603 | FALSE      | 25658 | 289      | TRUE     | 15           | 0.750         |
| calanus_simillimus            | thysanoessa_macrura           | Copepod         | Krill           | 0.03217  | 0.4924 | 0.1911 | 3020  | 11745 | 2711 | FALSE      | 12507 | 2711     | TRUE     | 21           | 0.955         |
| metridia_lucens               | radiozoa                      | Copepod         | Other           | -0.02685 | 0.1060 | 0.0741 | 304   | 2875  | 1919 | FALSE      | 24885 | 304      | TRUE     | 11           | 0.550         |
| calanus_simillimus            | euphausiidae_furcilia_indet   | Copepod         | Krill           | 0.02157  | 0.4924 | 0.1233 | 2314  | 12451 | 1384 | FALSE      | 13834 | 1384     | TRUE     | 19           | 0.905         |
| clausocalanus_laticeps        | thysanoessa_macrura_furcilia  | Copepod         | Krill           | -0.01974 | 0.2775 | 0.0655 | 452   | 7868  | 1513 | FALSE      | 20150 | 452      | TRUE     | 11           | 0.524         |
| rhincalanus_gigas             | radiozoa                      | Copepod         | Other           | 0.01619  | 0.0908 | 0.0741 | 452   | 2270  | 1771 | FALSE      | 25490 | 452      | TRUE     | 12           | 0.600         |
| thysanoessa_macrura           | radiozoa                      | Krill           | Other           | 0.01607  | 0.1911 | 0.0741 | 410   | 5321  | 1813 | FALSE      | 22439 | 410      | TRUE     | 12           | 0.545         |
| metridia_lucens               | ctenocalanus_sp_cf_citer_2    | Copepod         | Copepod         | 0.01313  | 0.1060 | 0.0657 | 265   | 2914  | 1705 | TRUE       | 25099 | 265      | TRUE     | 6            | 0.316         |
| oikopleura_sp                 | rhincalanus_gigas_nauplius    | Appendicularian | Copepod         | -0.01269 | 0.4227 | 0.2821 | 3989  | 8684  | 4470 | FALSE      | 12840 | 3989     | TRUE     | 20           | 0.952         |
| ctenocalanus_sp_cf_citer_2    | thysanoessa_macrura_f1        | Copepod         | Krill           | -0.01260 | 0.0657 | 0.0631 | 182   | 1788  | 1710 | FALSE      | 26303 | 182      | TRUE     | 6            | 0.400         |
| thysanoessa_macrura           | egg_indet                     | Krill           | Other           | 0.01219  | 0.1911 | 0.0739 | 387   | 5344  | 1829 | FALSE      | 22423 | 387      | TRUE     | 17           | 0.773         |
| rhincalanus_gigas_nauplius    | thysanoessa_macrura_f6        | Copepod         | Krill           | -0.01217 | 0.2821 | 0.0728 | 786   | 7673  | 1398 | FALSE      | 20126 | 786      | TRUE     | 15           | 0.750         |
| oikopleura_sp                 | thysanoessa_macrura_f1        | Appendicularian | Krill           | -0.01027 | 0.4227 | 0.0631 | 937   | 11736 | 955  | FALSE      | 16355 | 937      | TRUE     | 15           | 0.714         |
| foraminifera                  | chaetognath_indet             | Foraminifera    | Chaetognath     | -0.00917 | 0.5150 | 0.1168 | 1854  | 13586 | 1649 | FALSE      | 12894 | 1649     | TRUE     | 20           | 0.952         |
| ctenocalanus_sp_cf_citer      | eukrohnia_hamata              | Copepod         | Chaetognath     | -0.00882 | 0.1998 | 0.0545 | 331   | 5660  | 1303 | FALSE      | 22689 | 331      | TRUE     | 12           | 0.571         |
| calanus_simillimus            | radiozoa                      | Copepod         | Other           | -0.00845 | 0.4924 | 0.0741 | 1381  | 13384 | 842  | FALSE      | 14376 | 842      | TRUE     | 12           | 0.571         |
| foraminifera                  | rhincalanus_gigas_nauplius    | Foraminifera    | Copepod         | 0.00736  | 0.5150 | 0.2821 | 4961  | 10479 | 3498 | FALSE      | 11045 | 3498     | TRUE     | 20           | 0.952         |
| small_calanoid_copepods       | euphausiidae_calyptopis_indet | Copepod         | Krill           | 0.00123  | 0.8941 | 0.0613 | 1802  | 25007 | 35   | FALSE      | 3139  | 35       | TRUE     | 19           | 0.826         |
| fritillaria_sp                | limacina_sp                   | Appendicularian | Pteropod        | 0.00000  | 0.5238 | 0.2802 | 4822  | 10884 | 3578 | FALSE      | 10699 | 3578     | FALSE    | 20           | 0.909         |
| copepod_nauplius_indet        | limacina_sp                   | Copepod         | Pteropod        | 0.00000  | 0.3308 | 0.2802 | 3058  | 6860  | 5342 | FALSE      | 14723 | 3058     | FALSE    | 16           | 0.727         |
| foraminifera                  | clausocalanus_laticeps        | Foraminifera    | Copepod         | 0.00000  | 0.5150 | 0.2775 | 4871  | 10569 | 3449 | FALSE      | 11094 | 3449     | FALSE    | 16           | 0.762         |
| clausocalanus_brevipes        | ctenocalanus_sp_cf_citer      | Copepod         | Copepod         | 0.00000  | 0.3716 | 0.1998 | 2854  | 8287  | 3137 | TRUE       | 15705 | 2854     | FALSE    | 12           | 0.706         |
| rhincalanus_gigas_nauplius    | thysanoessa_macrura           | Copepod         | Krill           | 0.00000  | 0.2821 | 0.1911 | 1472  | 6987  | 4259 | FALSE      | 17265 | 1472     | FALSE    | 20           | 0.909         |
| ctenocalanus_sp_cf_citer      | thysanoessa_macrura           | Copepod         | Krill           | 0.00000  | 0.1998 | 0.1911 | 1047  | 4944  | 4684 | FALSE      | 19308 | 1047     | FALSE    | 13           | 0.591         |
| oithona_similis               | calanoides_acutus             | Copepod         | Copepod         | 0.00000  | 0.9206 | 0.1624 | 4806  | 22796 | 62   | TRUE       | 2319  | 62       | FALSE    | 21           | 0.955         |
| oikopleura_sp                 | calanoides_acutus             | Appendicularian | Copepod         | 0.00000  | 0.4227 | 0.1624 | 2505  | 10168 | 2363 | FALSE      | 14947 | 2363     | FALSE    | 21           | 0.955         |
| copepod_nauplius_indet        | calanoides_acutus             | Copepod         | Copepod         | 0.00000  | 0.3308 | 0.1624 | 2224  | 7694  | 2644 | TRUE       | 17421 | 2224     | FALSE    | 16           | 0.727         |
| clausocalanus_laticeps        | ostracoda_indet               | Copepod         | Other           | 0.00000  | 0.2775 | 0.1587 | 2227  | 6093  | 2532 | FALSE      | 19131 | 2227     | FALSE    | 16           | 0.800         |
| ctenocalanus_sp_cf_citer      | ostracoda_indet               | Copepod         | Other           | 0.00000  | 0.1998 | 0.1587 | 1136  | 4855  | 3623 | FALSE      | 20369 | 1136     | FALSE    | 12           | 0.571         |
| foraminifera                  | euphausiidae_furcilia_indet   | Foraminifera    | Krill           | 0.00000  | 0.5150 | 0.1233 | 2220  | 13220 | 1478 | FALSE      | 13065 | 1478     | FALSE    | 19           | 0.905         |
| rhincalanus_gigas_nauplius    | euphausiidae_furcilia_indet   | Copepod         | Krill           | 0.00000  | 0.2821 | 0.1233 | 1123  | 7336  | 2575 | FALSE      | 18949 | 1123     | FALSE    | 19           | 0.950         |
| calanoides_acutus             | euphausiidae_furcilia_indet   | Copepod         | Krill           | 0.00000  | 0.1624 | 0.1233 | 694   | 4174  | 3004 | FALSE      | 22111 | 694      | FALSE    | 19           | 0.864         |
| foraminifera                  | hyperiidae_indet              | Foraminifera    | Amphipod        | 0.00000  | 0.5150 | 0.1171 | 1926  | 13514 | 1584 | FALSE      | 12959 | 1584     | FALSE    | 21           | 1.000         |
| copepod_nauplius_indet        | hyperiidae_indet              | Copepod         | Amphipod        | 0.00000  | 0.3308 | 0.1171 | 1112  | 8806  | 2398 | FALSE      | 17667 | 1112     | FALSE    | 16           | 0.762         |
| ctenocalanus_sp_cf_citer      | hyperiidae_indet              | Copepod         | Amphipod        | 0.00000  | 0.1998 | 0.1171 | 832   | 5159  | 2678 | FALSE      | 21314 | 832      | FALSE    | 13           | 0.619         |
| thysanoessa_macrura           | hyperiidae_indet              | Krill           | Amphipod        | 0.00000  | 0.1911 | 0.1171 | 760   | 4971  | 2750 | FALSE      | 21502 | 760      | FALSE    | 21           | 0.955         |
| calanoides_acutus             | hyperiidae_indet              | Copepod         | Amphipod        | 0.00000  | 0.1624 | 0.1171 | 610   | 4258  | 2900 | FALSE      | 22215 | 610      | FALSE    | 21           | 0.955         |
| clausocalanus_brevipes        | chaetognath_indet             | Copepod         | Chaetognath     | 0.00000  | 0.3716 | 0.1168 | 1970  | 9171  | 1533 | FALSE      | 17309 | 1533     | FALSE    | 16           | 0.800         |
| thysanoessa_macrura           | chaetognath_indet             | Krill           | Chaetognath     | 0.00000  | 0.1911 | 0.1168 | 677   | 5054  | 2826 | FALSE      | 21426 | 677      | FALSE    | 20           | 0.909         |
| calanoides_acutus             | chaetognath_indet             | Copepod         | Chaetognath     | 0.00000  | 0.1624 | 0.1168 | 704   | 4164  | 2799 | FALSE      | 22316 | 704      | FALSE    | 20           | 0.909         |
| oithona_similis               | metridia_lucens               | Copepod         | Copepod         | 0.00000  | 0.9206 | 0.1060 | 3060  | 24542 | 119  | TRUE       | 2262  | 119      | FALSE    | 19           | 0.905         |
| small_calanoid_copepods       | metridia_lucens               | Copepod         | Copepod         | 0.00000  | 0.8941 | 0.1060 | 3043  | 23766 | 136  | TRUE       | 3038  | 136      | FALSE    | 19           | 0.826         |
| ctenocalanus_sp_cf_citer      | metridia_lucens               | Copepod         | Copepod         | 0.00000  | 0.1998 | 0.1060 | 910   | 5081  | 2269 | TRUE       | 21723 | 910      | FALSE    | 12           | 0.600         |
| thysanoessa_macrura           | metridia_lucens               | Krill           | Copepod         | 0.00000  | 0.1911 | 0.1060 | 678   | 5053  | 2501 | FALSE      | 21751 | 678      | FALSE    | 19           | 0.864         |
| euphausiidae_furcilia_indet   | metridia_lucens               | Krill           | Copepod         | 0.00000  | 0.1233 | 0.1060 | 770   | 2928  | 2409 | FALSE      | 23876 | 770      | FALSE    | 18           | 0.900         |
| chaetognath_indet             | metridia_lucens               | Chaetognath     | Copepod         | 0.00000  | 0.1168 | 0.1060 | 752   | 2751  | 2427 | FALSE      | 24053 | 752      | FALSE    | 18           | 0.857         |
| foraminifera                  | themisto_gaudichaudii         | Foraminifera    | Amphipod        | 0.00000  | 0.5150 | 0.1044 | 1675  | 13765 | 1456 | FALSE      | 13087 | 1456     | FALSE    | 21           | 0.875         |
| clausocalanus_laticeps        | themisto_gaudichaudii         | Copepod         | Amphipod        | 0.00000  | 0.2775 | 0.1044 | 1140  | 7180  | 1991 | FALSE      | 19672 | 1140     | FALSE    | 16           | 0.667         |
| ctenocalanus_sp_cf_citer      | themisto_gaudichaudii         | Copepod         | Amphipod        | 0.00000  | 0.1998 | 0.1044 | 750   | 5241  | 2381 | FALSE      | 21611 | 750      | FALSE    | 13           | 0.542         |
| ostracoda_indet               | themisto_gaudichaudii         | Other           | Amphipod        | 0.00000  | 0.1587 | 0.1044 | 666   | 4093  | 2465 | FALSE      | 22759 | 666      | FALSE    | 20           | 0.833         |
| euphausiidae_furcilia_indet   | themisto_gaudichaudii         | Krill           | Amphipod        | 0.00000  | 0.1233 | 0.1044 | 489   | 3209  | 2642 | FALSE      | 23643 | 489      | FALSE    | 19           | 0.792         |
| hyperiidae_indet              | themisto_gaudichaudii         | Amphipod        | Amphipod        | 0.00000  | 0.1171 | 0.1044 | 404   | 3106  | 2727 | TRUE       | 23746 | 404      | FALSE    | 21           | 0.875         |
| copepod_nauplius_indet        | neocalanus_tonsus             | Copepod         | Copepod         | 0.00000  | 0.3308 | 0.0930 | 772   | 9146  | 2015 | TRUE       | 18050 | 772      | FALSE    | 16           | 1.000         |
| limacina_sp                   | neocalanus_tonsus             | Pteropod        | Copepod         | 0.00000  | 0.2802 | 0.0930 | 811   | 7589  | 1976 | FALSE      | 19607 | 811      | FALSE    | 16           | 0.727         |
| small_calanoid_copepods       | rhincalanus_gigas             | Copepod         | Copepod         | 0.00000  | 0.8941 | 0.0908 | 2665  | 24144 | 57   | TRUE       | 3117  | 57       | FALSE    | 20           | 0.870         |
| fritillaria_sp                | rhincalanus_gigas             | Appendicularian | Copepod         | 0.00000  | 0.5238 | 0.0908 | 1847  | 13859 | 875  | FALSE      | 13402 | 875      | FALSE    | 20           | 1.000         |
| foraminifera                  | rhincalanus_gigas             | Foraminifera    | Copepod         | 0.00000  | 0.5150 | 0.0908 | 1439  | 14001 | 1283 | FALSE      | 13260 | 1283     | FALSE    | 20           | 0.952         |
| clausocalanus_brevipes        | rhincalanus_gigas             | Copepod         | Copepod         | 0.00000  | 0.3716 | 0.0908 | 1450  | 9691  | 1272 | TRUE       | 17570 | 1272     | FALSE    | 16           | 0.800         |
| limacina_sp                   | rhincalanus_gigas             | Pteropod        | Copepod         | 0.00000  | 0.2802 | 0.0908 | 1050  | 7350  | 1672 | FALSE      | 19911 | 1050     | FALSE    | 20           | 0.909         |
| clausocalanus_laticeps        | rhincalanus_gigas             | Copepod         | Copepod         | 0.00000  | 0.2775 | 0.0908 | 1225  | 7095  | 1497 | TRUE       | 20166 | 1225     | FALSE    | 16           | 0.800         |
| ctenocalanus_sp_cf_citer      | rhincalanus_gigas             | Copepod         | Copepod         | 0.00000  | 0.1998 | 0.0908 | 653   | 5338  | 2069 | TRUE       | 21923 | 653      | FALSE    | 12           | 0.571         |
| thysanoessa_macrura           | rhincalanus_gigas             | Krill           | Copepod         | 0.00000  | 0.1911 | 0.0908 | 593   | 5138  | 2129 | FALSE      | 22123 | 593      | FALSE    | 20           | 0.909         |
| euphausiidae_furcilia_indet   | rhincalanus_gigas             | Krill           | Copepod         | 0.00000  | 0.1233 | 0.0908 | 356   | 3342  | 2366 | FALSE      | 23919 | 356      | FALSE    | 19           | 0.950         |
| hyperiidae_indet              | rhincalanus_gigas             | Amphipod        | Copepod         | 0.00000  | 0.1171 | 0.0908 | 401   | 3109  | 2321 | FALSE      | 24152 | 401      | FALSE    | 20           | 0.952         |
| themisto_gaudichaudii         | rhincalanus_gigas             | Amphipod        | Copepod         | 0.00000  | 0.1044 | 0.0908 | 398   | 2733  | 2324 | FALSE      | 24528 | 398      | FALSE    | 20           | 0.833         |
| foraminifera                  | radiozoa                      | Foraminifera    | Other           | 0.00000  | 0.5150 | 0.0741 | 1235  | 14205 | 988  | FALSE      | 13555 | 988      | FALSE    | 12           | 0.571         |
| ostracoda_indet               | radiozoa                      | Other           | Other           | 0.00000  | 0.1587 | 0.0741 | 459   | 4300  | 1764 | TRUE       | 23460 | 459      | FALSE    | 12           | 0.600         |
| hyperiidae_indet              | radiozoa                      | Amphipod        | Other           | 0.00000  | 0.1171 | 0.0741 | 336   | 3174  | 1887 | FALSE      | 24586 | 336      | FALSE    | 12           | 0.571         |
